Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Slc3a1_-_85028611.23-P1P2	Slc3a1	1457	1807	1160	1486	2441
Selp_+_164115803.23-P1P2	Selp	2283	2458	2028	2113	3946
non-targeting_00230	non-targeting	577	504	677	707	1267
Tex14_+_87405071.23-P1P2	Tex14	2089	1288	1553	2030	2945
Matk_-_81257558.23-P1P2	Matk	1506	1604	1629	1603	2664
Pdhb_-_8172866.23-P1P2	Pdhb	2072	2190	2304	2119	3632
non-targeting_00033	non-targeting	1486	1678	1496	1699	2022
Car13_-_14641811.23-P1P2	Car13	1351	1376	1406	1358	2054
Chrm1_+_8664314.23-P1P2	Chrm1	2169	2292	2006	2613	4513
non-targeting_00125	non-targeting	2287	1843	1706	2601	3801
Cdc14b_+_64274993.23-P1	Cdc14b_P1	887	745	1003	1014	1498
Sphk2_-_45717853.23-P1	Sphk2_P1	3753	5093	3370	3413	5906
Atp5b_+_128083324.23-P1P2	Atp5b	1551	1885	1544	1923	3220
Pak1_+_97842956.23-P1P2	Pak1	1662	1358	2188	2053	3552
Hnmt_+_24048761.23-P1P2	Hnmt	1223	1156	1432	1570	2429
Kcnj8_-_142571287.23-P1P2	Kcnj8	805	993	691	918	1478
non-targeting_00080	non-targeting	1982	2453	1762	2299	3200
Snrpa_-_27196098.23-P1P2	Snrpa	3284	3663	3306	3519	6044
Crat_-_30415315.23-P1P2	Crat	1150	1997	1298	1655	2544
Rdh13_+_4445461.23-P1P2	Rdh13	2567	3325	2833	2938	4530
Scnn1b_+_121865088.23-P1P2	Scnn1b	2518	2702	2529	2345	4288
Gnmt_-_46729127.23-P1	Gnmt_P1	1759	1837	1481	1861	2410
Gnmt_-_46726722.23-P2	Gnmt_P2	955	970	750	970	1572
Aldh5a1_-_24937628.23-P1P2	Aldh5a1	3571	3667	3148	3814	6584
Lsm6_+_78820993.23-P1	Lsm6_P1	2206	2562	2277	2644	3792
Clk3_+_57765840.23-P1P2	Clk3	1834	1711	1918	1810	3138
Prkacb_+_146781329.23-P1P2	Prkacb	761	1078	872	841	1719
Ptpn23_+_110408151.23-P1P2	Ptpn23	1046	946	978	1310	2290
Ptpn3_-_57300323.23-P1P2	Ptpn3	1679	1757	1802	1948	3070
Melk_+_44301027.23-P1P2	Melk	2397	3092	2413	2287	3935
Egfr_-_16752239.23-P1P2	Egfr	888	1249	1038	986	1953
