gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
CACNB3	1.0024908026258157e0	3.589000703145116e-3	4.083064155360777e-1	6.473127004199377e-1	1e0	3.935889704811925e-1	6.218704278358747e-1	1e0	6.218704278358747e-1	1e0	7.404111858420925e-4
HIBADH	1.0397980894385366e0	5.630340947586481e-2	2.6441071739620897e-1	4.155010120802241e-1	1e0	8.824500582488812e-2	1.9181617688313818e-1	1e0	1.9181617688313818e-1	1e0	4.037600649408003e-2
CHRNA1	1.0932649311998723e0	1.2864305207419588e-1	7.805330102735804e-1	8.043383498560644e-1	1e0	4.0956859417292635e-1	5.586553359717912e-1	1e0	5.586553359717912e-1	1e0	3.252817384450833e-2
DDX39B	1.1134835681542787e0	1.550802682134876e-1	6.595553373709999e-1	7.053055446459014e-1	1e0	6.1071836676567376e-6	4.315907138941999e-6	1.4285652629898015e-3	4.315907138941999e-6	1.4285652629898015e-3	8.319944589448232e-1
ADCK3	9.647921055311347e-1	-5.170999253916471e-2	7.138790147223986e-2	1.6464322553635935e-1	9.766934590821391e-1	1e0	1e0	1e0	1.6464322553635935e-1	9.766934590821391e-1	-4.051251085456944e-2
PPEF2	9.785311475891898e-1	-3.131032093128054e-2	3.342155564651772e-2	9.513122515655953e-2	9.766934590821391e-1	2.9685120654795305e-1	4.353239735693847e-1	1e0	9.513122515655953e-2	9.766934590821391e-1	-3.198903194375818e-2
FGR	1.0085766671903436e0	1.2320754918924322e-2	2.1631134856065687e-1	3.6919564438651536e-1	1e0	1.2557033143424665e-1	2.563735158674326e-1	1e0	2.563735158674326e-1	1e0	7.283128930556215e-3
GABRG2	1.0136193368279935e0	1.951595216412451e-2	1e0	1e0	1e0	1.1932739029011928e-1	2.454499548987704e-1	1e0	2.454499548987704e-1	1e0	1.190545375666236e-2
DUSP27	9.846179402901599e-1	-2.236406836368794e-2	1.689303250145417e-1	3.2464253499121715e-1	1e0	1e0	1e0	1e0	3.2464253499121715e-1	1e0	-1.0926962568723778e-2
GABRR1	9.984623875170938e-1	-2.220013101552118e-3	2.878481963516007e-1	4.3738266127466e-1	1e0	1.0220404656698577e-1	2.1610610226110374e-1	1e0	2.1610610226110374e-1	1e0	-1.4770479094586041e-3
LMTK2	9.877348312381328e-1	-1.7804309154483042e-2	3.06221137549406e-1	4.5532820315838085e-1	1e0	5.497022387929418e-1	6.278350115018925e-1	1e0	4.5532820315838085e-1	1e0	-6.083295316213155e-3
MARK1	9.909563233094913e-1	-1.3106623281268142e-2	1.5359083789615274e-1	3.0209192019024517e-1	1e0	5.227946068981985e-1	6.145420175139512e-1	1e0	3.0209192019024517e-1	1e0	-6.813620847784652e-3
HTR4	9.041074690391789e-1	-1.4543382242986963e-1	3.635440212658967e-1	5.705888192109658e-1	1e0	4.8005943252955463e-1	6.359402851088256e-1	1e0	5.705888192109658e-1	1e0	-3.543884012418035e-2
S100A13	1.0121246916158353e0	1.738703795138903e-2	8.171710899085006e-1	8.177306097082016e-1	1e0	3.446905897462251e-1	4.83442022261449e-1	1e0	4.83442022261449e-1	1e0	5.4883159329491395e-3
AATK	9.914817299704507e-1	-1.2341906723583412e-2	1.5767606794653513e-1	3.09843289411785e-1	1e0	1.8703249972828284e-1	3.24206628370184e-1	1e0	3.09843289411785e-1	1e0	-6.280276803578956e-3
SLC36A1	1.0247984903678864e0	3.5340255557646014e-2	9.687383390746902e-1	9.694779047134022e-1	1e0	1.6874480160789188e-1	3.756220301164e-1	1e0	3.756220301164e-1	1e0	1.502840637146891e-2
RNGTT	9.948603289435767e-1	-7.434098763282324e-3	3.497753481887497e-1	4.9738671822737063e-1	1e0	6.166205537034811e-1	6.641533700760894e-1	1e0	4.9738671822737063e-1	1e0	-2.254805391063649e-3
KIDINS220	9.624420254173052e-1	-5.5228455139993256e-2	2.7909027334485164e-3	1.1113460882775646e-2	5.074487902808479e-1	1e0	1e0	1e0	1.1113460882775646e-2	5.074487902808479e-1	-1.07924722879508e-1
ULK2	1.0160582762083643e0	2.2983150521201076e-2	3.496164125723679e-1	4.967954389493356e-1	1e0	1.6605421312019264e-1	3.042714532954109e-1	1e0	3.042714532954109e-1	1e0	1.1876285417770837e-2
NDUFA4L2	1.0034823667914174e0	5.015265862377612e-3	5.0595157553983826e-2	1.2625323153547027e-1	9.766934590821391e-1	3.70129979867684e-1	5.097733717161341e-1	1e0	1.2625323153547027e-1	9.766934590821391e-1	4.5075077933141765e-3
MYH7	1.010108160488218e0	1.4509782328851794e-2	2.1428364896753857e-1	4.44525487589609e-1	1e0	1.6050043150689916e-1	3.638525513485052e-1	1e0	3.638525513485052e-1	1e0	6.370876515792656e-3
DLAT	1.0344496411969069e0	4.886341401002377e-2	1e0	1e0	1e0	4.688503632972971e-2	1.1665033815132433e-1	1e0	1.1665033815132433e-1	1e0	4.559513559870515e-2
